135930 1613.88 3877.82 14.015  9.999 99.999  84   1 0.005    0   0 9.999
135932 1615.38 3898.87 14.554  0.785 13.770  85   0 0.005 3260  12 0.004
135934 1597.33 3928.63 18.716  5.186 13.530  84   0 0.126 3271   0 0.058
135963 1638.74 3744.59 17.484  3.285 14.199  84   1 0.014 3265   7 0.006
135966 1592.01 3760.93 18.069  3.835 14.234  85   0 0.028 3269   3 0.009
135969 1487.66 3782.83 17.347  2.415 14.933  85   0 0.017 3262  10 0.006
135973 1643.37 3866.37 17.485  2.665 14.820  85   0 0.014 3259  13 0.006
135974 1512.08 3878.20 15.991  1.360 14.631  85   0 0.025 3272   0 0.024
135976 1562.95 3892.26 17.735  2.797 14.938  85   0 0.014 3268   4 0.005
135978 1613.75 3912.32 17.597  3.045 14.552  85   0 0.015 3262  10 0.006
135979 1465.74 3915.24 15.758  1.418 14.341  85   0 0.005 3261  11 0.004
135980 1568.16 3923.53 15.467  1.043 14.424  85   0 0.009 3264   7 0.006
136106 1547.90 3739.34 18.331  2.506 15.825  85   0 0.024 3261  11 0.009
136108 1525.85 3756.14 16.896  1.230 15.667  85   0 0.008 3266   6 0.007
136111 1561.26 3767.04 18.075  2.422 15.652  85   0 0.020 3262  10 0.008
136116 1635.40 3797.62 18.095  2.373 15.721  85   0 0.020 3265   7 0.009
136121 1544.93 3808.24 18.333  2.708 15.625  84   0 0.026 3264   8 0.007
136131 1632.21 3845.21 18.153  3.003 15.150  85   0 0.018 3259  13 0.006
136132 1469.76 3850.90 17.972  2.389 15.582  85   0 0.014 3265   7 0.008
136139 1489.91 3871.16 17.278  1.613 15.665  85   0 0.009 3261  11 0.007
136140 1469.79 3873.47 18.264  2.409 15.855  84   0 0.025 3272   0 0.012
136141 1504.68 3878.14 18.482  2.616 15.866  84   1 0.031 3265   7 0.012
136143 1594.95 3882.89 18.214  2.329 15.886  85   0 0.022 3263   9 0.010
136144 1538.72 3887.56 16.537  1.224 15.313  85   0 0.007 3259  13 0.006
136149 1539.18 3913.50 18.468  3.042 15.427  84   0 0.023 3260  12 0.006
136150 1647.38 3914.97 17.887  2.236 15.651  85   0 0.019 3261  11 0.010
136161 1647.55 3919.10 17.728  1.645 16.083  85   0 0.018 3261  10 0.015
136287 1551.04 3726.18 18.672  2.337 16.335  84   0 0.026 3262  10 0.011
136292 1549.28 3743.65 18.835  1.949 16.886  85   0 0.035 3258  14 0.022
136294 1506.94 3754.79 18.289  2.323 15.966  84   0 0.021 3270   2 0.010
136302 1466.76 3767.87 18.382  2.423 15.960  85   0 0.019 3262  10 0.009
136304 1477.52 3772.92 17.176  1.200 15.976  85   0 0.015 3268   4 0.012
136307 1627.86 3784.03 18.470  2.225 16.245  85   0 0.029 3261  11 0.011
136310 1549.93 3803.98 17.800  1.289 16.511  85   0 0.017 3262  10 0.013
136312 1569.77 3806.82 17.676  1.216 16.460  85   0 0.015 3265   6 0.012
136314 1504.32 3812.34 19.217  2.501 16.715  84   0 0.040 3264   5 0.016
136315 1579.52 3813.65 17.942  1.313 16.629  85   0 0.016 3260  10 0.013
136316 1604.64 3813.82 18.334  1.619 16.714  85   0 0.022 3261   9 0.014
136318 1465.46 3817.28 17.986  1.439 16.546  84   1 0.015 3262   6 0.013
136319 1477.41 3819.50 18.292  2.087 16.205  85   0 0.022 3266   6 0.010
136322 1615.88 3826.70 18.619  2.563 16.056  84   0 0.025 3263   9 0.009
136326 1644.09 3839.05 18.641  2.453 16.188  84   0 0.030 3261  11 0.011
136329 1490.33 3840.91 18.112  1.917 16.195  85   0 0.049 3271   1 0.033
136333 1566.22 3849.84 18.777  2.753 16.023  84   0 0.030 3260  12 0.010
136334 1512.47 3850.89 19.391  2.506 16.885  82   1 0.045 3258  11 0.016
136336 1478.68 3856.64 17.366  1.278 16.089  85   0 0.009 3263   7 0.009
136341 1539.03 3869.93 18.969  2.802 16.167  84   0 0.034 3267   5 0.010
136344 1571.42 3873.24 18.917  2.694 16.222  84   0 0.035 3263   9 0.011
136346 1587.34 3878.19 18.651  2.207 16.443  84   0 0.028 3263   9 0.014
136350 1576.63 3887.57 18.914  2.996 15.918  84   0 0.033 3262  10 0.009
136353 1594.21 3894.85 18.626  2.633 15.993  85   0 0.030 3261  11 0.011
136362 1633.50 3918.52 18.738  2.634 16.103  83   1 0.027 3259  10 0.010
136368 1559.70 3931.99 18.419  1.850 16.570  85   0 0.023 3263   7 0.016
136380 1626.69 3780.62 19.918  1.572 18.346  84   0 0.109 3260   4 0.067
136381 1552.30 3802.57 99.999  9.999 17.888   0   0 9.999 3258  10 0.044
136383 1476.09 3822.71 20.077  2.492 17.584  84   1 0.092 3260   9 0.033
136385 1515.44 3849.92 20.252  2.428 17.824  83   0 0.092 3258   8 0.037
136387 1591.38 3877.32 99.999  9.999 17.628   0   0 9.999 3261  10 0.040
136618 1517.19 3727.22 19.460  1.999 17.462  84   0 0.049 3261   7 0.024
136619 1565.64 3729.82 99.999  9.999 17.264   0   0 9.999 3257  11 0.023
136620 1540.19 3731.27 19.535  2.479 17.057  82   1 0.043 3262   7 0.021
136621 1620.55 3731.25 19.621  2.268 17.353  84   0 0.066 3262   5 0.025
136622 1549.09 3732.90 19.157  2.183 16.974  84   0 0.036 3261  10 0.019
136628 1546.70 3742.20 18.395  2.275 16.120  85   0 0.029 3261  11 0.013
136630 1635.39 3748.99 19.494  2.439 17.056  84   0 0.063 3269   2 0.041
136634 1483.99 3753.25 19.455  2.322 17.133  84   0 0.058 3259   7 0.019
136635 1563.84 3754.56 18.760  1.694 17.066  84   0 0.028 3259   9 0.019
136636 1624.07 3755.82 19.159  1.699 17.460  84   0 0.045 3257   9 0.027
136641 1457.92 3773.86 18.507  1.580 16.927  85   0 0.022 3262   8 0.017
136642 1493.37 3774.22 19.343  1.877 17.466  84   0 0.049 3258   8 0.026
136646 1503.29 3780.34 19.673  2.239 17.434  83   1 0.052 3257   7 0.025
136650 1488.02 3786.05 19.191  1.905 17.286  85   0 0.069 3269   2 0.057
136651 1505.29 3786.92 19.182  1.786 17.396  84   0 0.051 3260   6 0.024
136652 1457.36 3787.33 18.865  1.560 17.306  84   0 0.033 3260   7 0.022
136653 1610.54 3789.36 19.389  2.270 17.119  84   0 0.054 3265   6 0.020
136658 1629.53 3803.40 18.999  1.662 17.336  84   0 0.035 3259   9 0.023
136666 1644.07 3810.91 19.922  2.398 17.525  79   1 0.070 3255  10 0.026
136667 1592.49 3812.24 19.900  2.282 17.618  83   0 0.081 3261   5 0.029
