OGLE-2019-BLG-0181

Field          BLG511.11
StarNo         192281
RA(J2000.0)    18:03:32.20
Dec(J2000.0)   -27:24:27.3
Remarks        

  Tmax   2458554.624     0.073
  tau         30.003     0.280
  umin         0.249     0.001
  Amax         4.113     0.023
  Dmag         1.536     0.000
  fbl          1.000     0.000
  I_bl        19.720     0.002
  I0          19.720     0.002
