OGLE-2019-BLG-0100

Field          BLG514.04
StarNo         102021
RA(J2000.0)    18:03:10.77
Dec(J2000.0)   -31:28:24.1
Remarks        

  Tmax   2458575.711     0.327
  tau         89.256     4.929
  umin         0.713     0.061
  Amax         1.656     0.101
  Dmag         0.548     0.000
  fbl          0.636     0.096
  I_bl        16.538     0.000
  I0          17.029     0.164
